Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000167644,C19orf33,Gene Expression,0.23089249453037788,0.0,0.0,505,1.1778915036920772,96
ENSG00000136235,GPNMB,Gene Expression,0.2305936561271684,0.0,0.0,54,0.12696287963675157,34
ENSG00000125775,SDCBP2,Gene Expression,0.2305539236005924,0.0,0.0,171,0.32729354811047245,46
ENSG00000130770,ATP5IF1,Gene Expression,0.23028337895948212,0.0,0.0,1023,2.8142800966675265,180
ENSG00000277157,HIST1H4D,Gene Expression,0.22972927522145645,0.0,0.0,376,0.9537028234101176,104
ENSG00000109046,WSB1,Gene Expression,0.22940457722205604,0.0,0.0,237,0.586080199274018,89
ENSG00000168056,LTBP3,Gene Expression,0.2290366612141814,0.0,0.0,252,0.6882920818283481,87
ENSG00000140264,SERF2,Gene Expression,0.22899378777196439,0.0,0.0,2309,6.427262150804324,218
ENSG00000105974,CAV1,Gene Expression,0.22770619246632662,0.0,0.0,91,0.19053783244041317,43
ENSG00000054938,CHRDL2,Gene Expression,0.22636337206291993,0.0,0.0,166,0.40453544338054687,61
ENSG00000131171,SH3BGRL,Gene Expression,0.22588145443409519,0.0,0.0,163,0.4775406042045257,75
ENSG00000076706,MCAM,Gene Expression,0.2258706458434097,0.0,0.0,205,0.5959684015201792,78
ENSG00000204128,C2orf72,Gene Expression,0.22422698413449377,0.0,0.0,225,0.445273840249483,66
ENSG00000125730,C3,Gene Expression,0.22330498953586464,0.0,0.0,89,0.31717556050530615,52
ENSG00000019102,VSIG2,Gene Expression,0.22243348051779818,0.0,0.0,116,0.23670538173391176,49
ENSG00000179954,SSC5D,Gene Expression,0.21923481859015645,0.0,0.0,106,0.27783532868623134,61
ENSG00000166681,BEX3,Gene Expression,0.21830621534249725,0.0,0.0,299,0.8694045607143314,121
ENSG00000196188,CTSE,Gene Expression,0.2177586890582901,0.0,0.0,128,0.2433692125368052,37
ENSG00000117868,ESYT2,Gene Expression,0.21769512299690238,0.0,0.0,113,0.26314039792710536,59
ENSG00000162734,PEA15,Gene Expression,0.21716578265145933,0.0,0.0,231,0.6163097679752895,103
ENSG00000162366,PDZK1IP1,Gene Expression,0.2169512015649297,0.0,0.0,251,0.5676624805452406,72
ENSG00000183963,SMTN,Gene Expression,0.21693569487226153,0.0,0.0,313,1.1023989865196606,116
ENSG00000159335,PTMS,Gene Expression,0.21647175095342505,0.0,0.0,570,1.4713569895481269,148
ENSG00000106211,HSPB1,Gene Expression,0.21551849945606488,0.0,0.0,787,2.072197568979647,166
ENSG00000100345,MYH9,Gene Expression,0.21427065916829915,0.0,0.0,601,1.321441476028813,145
ENSG00000167996,FTH1,Gene Expression,0.21407420942699043,0.0,0.0,1401,3.03174879551858,178
ENSG00000101447,FAM83D,Gene Expression,0.21379371737100689,0.0,0.0,35,0.060226499565193645,24
ENSG00000171227,TMEM37,Gene Expression,0.21278375622425877,0.0,0.0,96,0.2288902183607276,39
ENSG00000142798,HSPG2,Gene Expression,0.21254194520626946,0.0,0.0,336,0.8731627485273993,118
ENSG00000174348,PODN,Gene Expression,0.21243088349807004,0.0,0.0,132,0.36137569103769346,62
ENSG00000250479,CHCHD10,Gene Expression,0.21169802361453133,0.0,0.0,352,0.9551913495017331,109
ENSG00000134398,ERN2,Gene Expression,0.21098568871962747,0.0,0.0,209,0.4881640791436783,77
